trace,frames,policy,disk_reads,disk_writes,fault_rate
bzip.trace,8,lru,30691,11092,0.0307
bzip.trace,8,clock,46164,0,0.0462
bzip.trace,8,rand,44358,16466,0.0444
bzip.trace,16,lru,3344,1069,0.0033
bzip.trace,16,clock,3468,0,0.0035
bzip.trace,16,rand,4459,1498,0.0045
bzip.trace,32,lru,2133,702,0.0021
bzip.trace,32,clock,2203,0,0.0022
bzip.trace,32,rand,2623,857,0.0026
bzip.trace,64,lru,1264,420,0.0013
bzip.trace,64,clock,1318,0,0.0013
bzip.trace,64,rand,1558,551,0.0016
bzip.trace,128,lru,771,224,0.0008
bzip.trace,128,clock,802,0,0.0008
bzip.trace,128,rand,948,320,0.0009
bzip.trace,256,lru,397,48,0.0004
bzip.trace,256,clock,432,0,0.0004
bzip.trace,256,rand,412,63,0.0004
bzip.trace,512,lru,317,0,0.0003
bzip.trace,512,clock,317,0,0.0003
bzip.trace,512,rand,317,0,0.0003
bzip.trace,1024,lru,317,0,0.0003
bzip.trace,1024,clock,317,0,0.0003
bzip.trace,1024,rand,317,0,0.0003
gcc.trace,8,lru,171186,23983,0.1712
gcc.trace,8,clock,181856,0,0.1819
gcc.trace,8,rand,216656,37216,0.2167
gcc.trace,16,lru,116604,14749,0.1166
gcc.trace,16,clock,121682,0,0.1217
gcc.trace,16,rand,150825,24986,0.1508
gcc.trace,32,lru,84401,11737,0.0844
gcc.trace,32,clock,87686,0,0.0877
gcc.trace,32,rand,106754,17283,0.1068
gcc.trace,64,lru,59089,8863,0.0591
gcc.trace,64,clock,61640,0,0.0616
gcc.trace,64,rand,75007,12188,0.075
gcc.trace,128,lru,40821,6131,0.0408
gcc.trace,128,clock,43017,0,0.043
gcc.trace,128,rand,51111,8587,0.0511
gcc.trace,256,lru,25308,4231,0.0253
gcc.trace,256,clock,26789,0,0.0268
gcc.trace,256,rand,32087,5756,0.0321
gcc.trace,512,lru,10425,2173,0.0104
gcc.trace,512,clock,11472,0,0.0115
gcc.trace,512,rand,16356,3437,0.0164
gcc.trace,1024,lru,4391,955,0.0044
gcc.trace,1024,clock,4765,0,0.0048
gcc.trace,1024,rand,7132,1733,0.0071
sixpack.trace,8,lru,176496,32717,0.1765
sixpack.trace,8,clock,191760,0,0.1918
sixpack.trace,8,rand,231176,54869,0.2312
sixpack.trace,16,lru,108682,19342,0.1087
sixpack.trace,16,clock,115206,0,0.1152
sixpack.trace,16,rand,145034,31971,0.145
sixpack.trace,32,lru,67747,13730,0.0677
sixpack.trace,32,clock,70849,0,0.0708
sixpack.trace,32,rand,88850,19528,0.0888
sixpack.trace,64,lru,41186,9672,0.0412
sixpack.trace,64,clock,41949,0,0.0419
sixpack.trace,64,rand,51815,12743,0.0518
sixpack.trace,128,lru,21090,6526,0.0211
sixpack.trace,128,clock,23229,0,0.0232
sixpack.trace,128,rand,29170,8534,0.0292
sixpack.trace,256,lru,11240,4092,0.0112
sixpack.trace,256,clock,11876,0,0.0119
sixpack.trace,256,rand,15678,5379,0.0157
sixpack.trace,512,lru,5823,2444,0.0058
sixpack.trace,512,clock,6119,0,0.0061
sixpack.trace,512,rand,8932,3507,0.0089
sixpack.trace,1024,lru,4468,1846,0.0045
sixpack.trace,1024,clock,4618,0,0.0046
sixpack.trace,1024,rand,5879,2374,0.0059
swim.trace,8,lru,285375,53614,0.2854
swim.trace,8,clock,293519,0,0.2935
swim.trace,8,rand,321068,54434,0.3211
swim.trace,16,lru,171961,46293,0.172
swim.trace,16,clock,191848,0,0.1918
swim.trace,16,rand,195172,40275,0.1952
swim.trace,32,lru,48254,9674,0.0483
swim.trace,32,clock,53025,0,0.053
swim.trace,32,rand,83862,18360,0.0839
swim.trace,64,lru,21656,5687,0.0217
swim.trace,64,clock,22611,0,0.0226
swim.trace,64,rand,35533,8520,0.0355
swim.trace,128,lru,13250,3812,0.0132
swim.trace,128,clock,15275,0,0.0153
swim.trace,128,rand,18332,5045,0.0183
swim.trace,256,lru,5673,1866,0.0057
swim.trace,256,clock,5980,0,0.006
swim.trace,256,rand,9325,2909,0.0093
swim.trace,512,lru,3632,1159,0.0036
swim.trace,512,clock,3795,0,0.0038
swim.trace,512,rand,5239,1746,0.0052
swim.trace,1024,lru,2803,789,0.0028
swim.trace,1024,clock,2901,0,0.0029
swim.trace,1024,rand,3453,1020,0.0035
